dim,deg,parallel_depth,max_cpu,avg_time
2,2,0,1,0.0032882452011108398
2,2,1,2,0.0175579309463501
2,2,1,4,0.014786386489868164
2,2,1,6,0.012072086334228516
2,2,1,8,0.009184813499450684
2,2,1,10,0.013021063804626466
2,2,1,12,0.012975120544433593
2,2,1,14,0.016129064559936523
2,2,1,16,0.010253286361694336
2,2,1,18,0.014829039573669434
2,2,1,20,0.013747477531433105
2,2,1,22,0.014226293563842774
2,2,1,24,0.01212000846862793
2,2,1,26,0.014620327949523925
2,2,1,28,0.012801551818847656
2,2,1,30,0.012765240669250489
2,2,1,32,0.01133272647857666
2,2,1,34,0.01302790641784668
2,2,1,36,0.012138056755065917
2,2,1,38,0.013554000854492187
2,2,1,40,0.013088464736938477
2,2,2,2,0.00969696044921875
2,2,2,4,0.012459921836853027
2,2,2,6,0.012663626670837402
2,2,2,8,0.01217648983001709
2,2,2,10,0.011191105842590332
2,2,2,12,0.012598395347595215
2,2,2,14,0.013459491729736327
2,2,2,16,0.015836930274963378
2,2,2,18,0.013781499862670899
2,2,2,20,0.012215733528137207
2,2,2,22,0.014292716979980469
2,2,2,24,0.012755894660949707
2,2,2,26,0.015129971504211425
2,2,2,28,0.013869524002075195
2,2,2,30,0.013344669342041015
2,2,2,32,0.016712117195129394
2,2,2,34,0.012545156478881835
2,2,2,36,0.015574240684509277
2,2,2,38,0.010683059692382812
2,2,2,40,0.012458705902099609
2,2,3,2,0.010989689826965332
2,2,3,4,0.01409289836883545
2,2,3,6,0.011925172805786134
2,2,3,8,0.016040539741516112
2,2,3,10,0.012778353691101075
2,2,3,12,0.013379740715026855
2,2,3,14,0.011154389381408692
2,2,3,16,0.011785054206848144
2,2,3,18,0.01479775905609131
2,2,3,20,0.014137697219848634
2,2,3,22,0.014153861999511718
2,2,3,24,0.016069507598876952
2,2,3,26,0.014529156684875488
2,2,3,28,0.015643811225891112
2,2,3,30,0.01409146785736084
2,2,3,32,0.013428044319152833
2,2,3,34,0.013344621658325196
2,2,3,36,0.013423299789428711
2,2,3,38,0.013212323188781738
2,2,3,40,0.011943888664245606
2,2,4,2,0.010528969764709472
2,2,4,4,0.011532354354858398
2,2,4,6,0.013482332229614258
2,2,4,8,0.014136862754821778
2,2,4,10,0.013863110542297363
2,2,4,12,0.01198716163635254
2,2,4,14,0.010939764976501464
2,2,4,16,0.01356070041656494
2,2,4,18,0.014854741096496583
2,2,4,20,0.011394119262695313
2,2,4,22,0.015258288383483887
2,2,4,24,0.012041616439819335
2,2,4,26,0.013135170936584473
2,2,4,28,0.014573812484741211
2,2,4,30,0.012070751190185547
2,2,4,32,0.012482690811157226
2,2,4,34,0.013027644157409668
2,2,4,36,0.015035200119018554
2,2,4,38,0.013549089431762695
2,2,4,40,0.012223553657531739
2,2,5,2,0.014021682739257812
2,2,5,4,0.015189528465270996
2,2,5,6,0.01281740665435791
2,2,5,8,0.013585042953491212
